concept:name,case:concept:name,case:AMOUNT_REQ,StartTime,StartRes,CompleteTime,CompleteRes,Duration,activity_pre,activity,activity_verb,activity_dec,pre_activity,rank_result,result,TimeDiff
A_PARTLYSUBMITTED,173688,20000,2011-10-01 00:38:44,112,2011-10-01 00:38:44,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,0.0
A_SUBMITTED,173688,20000,2011-10-01 00:38:44,112,2011-10-01 00:38:44,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PREACCEPTED,173688,20000,2011-10-01 00:39:37,112,2011-10-01 00:39:37,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,53.0
A_ACCEPTED,173688,20000,2011-10-01 11:42:43,10862,2011-10-01 11:42:43,10862,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,39786.0
A_FINALIZED,173688,20000,2011-10-01 11:45:09,10862,2011-10-01 11:45:09,10862,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,146.0
A_ACTIVATED,173688,20000,2011-10-13 10:37:29,10629,2011-10-13 10:37:29,10629,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,1032740.0
A_APPROVED,173688,20000,2011-10-13 10:37:29,10629,2011-10-13 10:37:29,10629,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,1032740.0
A_SUBMITTED,173691,5000,2011-10-01 08:08:58,112,2011-10-01 08:08:58,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
A_PARTLYSUBMITTED,173691,5000,2011-10-01 08:09:02,112,2011-10-01 08:09:02,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,4.0
A_PREACCEPTED,173691,5000,2011-10-01 08:09:56,112,2011-10-01 08:09:56,112,0.0,a,accept_pre,accept,pre,a_accept_pre,6,approve,54.0
A_ACCEPTED,173691,5000,2011-10-01 14:33:54,10862,2011-10-01 14:33:54,10862,0.0,a,accept,accept,<NO_DESC>,a_accept,5,approve,23038.0
A_FINALIZED,173691,5000,2011-10-01 14:35:46,10862,2011-10-01 14:35:46,10862,0.0,a,finalize,finalize,<NO_DESC>,a_finalize,4,approve,112.0
A_ACTIVATED,173691,5000,2011-10-10 14:17:26,10809,2011-10-10 14:17:26,10809,0.0,a,activate,activate,<NO_DESC>,a_activate,3,approve,776500.0
A_APPROVED,173691,5000,2011-10-10 14:17:26,10809,2011-10-10 14:17:26,10809,0.0,a,approve,approve,<NO_DESC>,a_approve,1,approve,776500.0
A_PARTLYSUBMITTED,173694,7000,2011-10-01 08:10:30,112,2011-10-01 08:10:30,112,0.0,a,submit_partial,submit,partial,a_submit_partial,7,approve,0.0
A_SUBMITTED,173694,7000,2011-10-01 08:10:30,112,2011-10-01 08:10:30,112,0.0,a,submit,submit,<NO_DESC>,a_submit,6,approve,0.0
